study_hours,attendance_pct,practice_quizzes,project_score,label
1.0,62,1,58,struggling
1.5,65,1,60,struggling
2.0,68,2,64,struggling
2.5,70,2,66,struggling
3.0,72,3,69,struggling
3.5,75,3,72,struggling
4.0,78,4,74,passing
4.5,80,4,77,passing
5.0,82,5,79,passing
5.5,84,5,82,passing
6.0,86,6,84,passing
6.5,88,6,86,passing
7.0,90,7,88,excelling
7.5,91,7,90,excelling
8.0,93,8,92,excelling
8.5,94,8,94,excelling
9.0,95,9,95,excelling
9.5,96,9,96,excelling
10.0,97,10,98,excelling
10.5,98,10,99,excelling
