text,label
"The SDIO has ""contracted"" with the NRL (Naval Research Laboratory) to fly the Clementine Mission. BTW we call it DSPSE (Deep Space Project Science Experiment). The NRL is building the spacecraft, designing the detailed mission and doing the integration and operations (with help from, JPL & Goddard & prob. some folks I have left out...don't be mad). I am on the TAMP (Trajectory Analysis & Mission Planning) team and am responsable for the IV&V of the traj that Goddard/CSC are designing. As for why SDIO is doing it, some of the reasons are: 1) the safety constraints are too tight to try to run the LIDAR in LEO 2) in LEO we don't get any new radiation data on the sensors, we will get that data on our 9 passages through the Van Allen (sp?) Belts 3) since we are going out there...why not piggy-back some general science 4) the intercept problem is a lot easied over LONG distances and LONG times I am sure there are some things I have forgotten, and some I haven't been told but, those are the reasons we all talk about. --",sci.space
"Here is a way to get the commericial companies into space and mineral exploration. Basically get the eci-freaks to make it so hard to get the minerals on earth.. You think this is crazy. Well in a way it is, but in a way it is reality. There is a billin the congress to do just that.. Basically to make it so expensive to mine minerals in the US, unless you can by off the inspectors or tax collectors.. ascially what I understand from talking to a few miner friends of mine, that they (the congress) propose to have a tax on the gross income of the mine, versus the adjusted income, also the state governments have there normal taxes. So by the time you get done, paying for materials, workers, and other expenses you can owe more than what you made. BAsically if you make a 1000.00 and spend 500. ofor expenses, you can owe 600.00 in federal taxes.. Bascially it is driving the miners off the land.. And the only peopel who benefit are the eco-freaks.. Basically to get back to my beginning statement, is space is the way to go cause it might just get to expensive to mine on earth because of either the eco-freaks or the protectionist.. Such fun we have in these interesting times..",sci.space
It is meaningless to compare one player's plus/minus statistic with another players' out of the context of the role and the playing time of the players involved. To compare Jagr's and Francis's plus/minus is ridiculous and absurd...,rec.sport.hockey
"Lindbergh's flight took place in '27, not the thirties. Could you give examples of privately funded ones? Your logic certainly applies to standard investment strategies. However, the concept of a prize for a difficult goal is done for different reasons, I suspect. I'm not aware that Mr Orteig received any significant economic benefit from Lindbergh's flight. Modern analogies, such as the prize for a human powered helicopter face similar arguments. There is little economic benefit in such a thing. The advantage comes in the new approaches developed and the fact that a prize will frequently generate far more work than the equivalent amount of direct investment would. A person who puts up $ X billion for a moon base is much more likely to do it because they want to see it done than because they expect to make money off the deal.",sci.space
"Aargh! Paul Stewart is the worst and most biased ref. presently in the NHL. He called a total of 4 penalties on the Habs and one on the Nordiques. The Nords' penalty came in O.T. Stewart, being an ex-Nordique himself, was looking to call penalties on the Habs while letting the Nords get away with murder...WE WAS ROBBED!!!! It was an excellent game with plenty of end-to-end rushes and tremendous goalkeeping. The Nords tied it with over 1 minute to go while Lebeau was serving a penalty. I don't mind Stewart calling a penalty in the last 5 min. of the game, but AT LEAST BE FAIR ABOUT IT. The Nords were caught with their hand in the cookie jar more than once. Stewart turned the other cheek...BASTARD! Patrick Roy collapsed after letting in the tieing goal. He was shaky and on his knees for the rest of the night. The winning goal shouldn't have gone in. Don't get me wrong, I'm not blaming the loss on Stewart. The Habs had plenty of chances to capitalize, Muller, LeClair, Haller, etc. but failed to put the puck in the net. That's what did them in. But Mr. Stewart didn't help matters at all. Oh well, at least the Bruins lost in O.T. also Ha, Ha!!--) ,,, (0-0) ============================oOO(_)OOo=================================== The Czar of Mainframe Computing <JBE5@MUSICB.MCGILL.CA> McGill University --> I'M TOO SEXY FOR COBOL. ---> Habs...will beat the Nords in 7!!!! ---> Let's Go Expos! =========================================== | Hickory, dickory doc, | | She took a good look at your cock. | | It's really scary all rinkled and hairy,| | It smells like a 10 year old sock! | | --Andrew Dice Clay | ===========================================",rec.sport.hockey
"Sorry to everyone for wasting space. Matt, the other day you posted that you were doing a mailing list of playoff stats. I lost your address. Please put me on that list. Thanks.",rec.sport.hockey
"If this doesn't beat all I ever heard! The above certainly says a mouthful about the mindset of Ted Frank, and also of statists everywhere.",talk.politics.misc
Did your boyfriend comment on the fact that Clement looks like a walking ad for Brillo pad hair replacement therapy? The guy's just a stuffed shirt who thinks he's the greatest hockey analyst since Howie Meeker (for gosh sakes). I'll take Schoenie any day. George,rec.sport.hockey
"You're right, I bailed out in Diff Eq. Nevertheless, I would suggest to YOU that there is a difference between a ""proposed BILL, stalled in Congress"" and a ""executive order, crammed down OUR THROATS"". Do you disagree? Went to the Post Office on Friday, got my passport apps in.",talk.politics.misc
"It still applies, except the astronomy these days is Very Long Baseline Radio Astronomy coupled to GPS and Satellite Laser Ranging. The data from NASA's and the Naval Observatory's (among others) is a vital source of data for studies into crustal dynamics, Earth rotation, and purturbations. Every time there is a leap second added to the New Year, remember the military and science are still co-habiting nicely. The same VLBI was used to track Gallileo as it passed the Earth, and used so little fuel that it can afford to observe Ida.",sci.space
"rites: , n But drive UP to Cleveland and it is about 10,000 times better. I from Toledo originally (but that place always as sucked as long as I've been on the planet. Republicans have been trying to pass a balanced budget amendment for the last ten years. Because for a while, the American companies couln't even compete in THEIR OWN COUNTRY, where free trade isn't even an issue. However, even the automobile pendelum has swung back to the Big 3. Oh, I don't know. It's probably in the tens of thousands.",talk.politics.misc
"I've just read Richard Langley's latest ""Navstar GPS Constellation Status"". It states that the latest satellite was placed in Orbit Plane Position C-3. There is already one satellite in that position. I know that it's almost ten years since that satellite was launched but it's still in operation so why not use it until it goes off? Why not instead place the new satellite at B-4 since that position is empty and by this measure have an almost complete GPS-constellation (23 out of 24)? /Thomas ================================================================================ Ericsson Telecom, Stockholm, Sweden",sci.space
"I had heard(perhaps incorrectly) that while Lemieux was out, noone wore a C on their jersey. The As took turns doing captain duties(whatever they are). Scott... scott.marks@launchpad.unc.edu scott.marks@launchpad.unc.edu",rec.sport.hockey
"Kerry-- I'm guessing a little at this, because it's been a few years since I saw the info, but you will probably want to look at Air Defense Artillery as a specialty, or possibly Signals. The kind of thing you're looking for is SDI-type assignments, but it'll be pretty prosaic stuff. Things like hard-kill ATBM missiles, some of the COBRA rigs -- that kind of thing. Hope that gives you some ideas on where to look, though.",sci.space
"You think that you all have it bad....here at good ol' Southwest Missouri State U., we have 2 parties running for student body president. There's the token sorority/fraternity faces, and then there's the president and vice president of NORML. They campaigned by handing out condoms and listing their qualifications as,""I listen really well."" It makes me sick to have a party established on many of the things that are ruining this country like they are. I think I'll run next year.:(",talk.politics.misc
You can't. But good luck trying.,rec.sport.hockey
"Derian Hatcher's game-misconduct penalty was rescinded by the NHL, allowing the Minnesota defenseman to play in the North Stars' last two regular-season games. Hatcher was given the penalty during a fight at the end of a loss at St. Louis on Sunday, April 11. But the league didn't rescind the game-misconduct penalty Shane Churla received. The Stars recalled center Cal McGowan from their top minor league club in Kalamazoo, Mich., to replace Churla. The above is courtesy of The Washington Times on-line service. Now, here's where I need help. If anyone out there has a tape of Tuesday's Chicago-Minnesota game, please contact me. Terms will be favorable. Also, if anyone can tape tonight's Minnesota-Detroit game, please contact me. This could be quite important. Once again, I will make it worth your trouble. Thanks to all.",rec.sport.hockey
"A good summary has been posted (thanks), but I wanted to add another comment. I remeber reading the comment that General Dynamics was tied into this, in connection with their proposal for an early manned landing. Sorry I don't rember where I heard this, but I'm fairly sure it was somewhere reputable. Anyone else know anything on this angle? Hrumph. They didn't send _me_ anything :(",sci.space
"yeah, They just tore down the Kmart near my house (putting in a new suptermarket). I heard that there is a beer drinking ghost who still haunts the place! 8-{) Tom I liked this one I read a while ago...",sci.space
It's in the FAQ. have fun gak,rec.sport.hockey
I am looking for all the 84 boxscores of any NHL team for some personal research. Can someone help me ?,rec.sport.hockey
"Actually, the idea, like most good ideas, comes from Jules Verne, not _The Gods Must Be Crazy._ In one of his lesser known books (I can't remember which one right now), the protagonists are in a balloon gondola, travelling over Africa on their way around the world in the balloon, when one of them drops a fob watch. They then speculate about the reaction of the natives to finding such a thing, dropped straight down from heaven. But the notion is not pursued further than that.",sci.space
Glad to see Griffin is spending his time on engineering rather than on ritual purification of the language. Pity he got stuck with the turkey rather than one of the sensible options.,sci.space
"It seems radio reports were overly optimistic. All Clinton wants to cut is $2.5 Billion for community block grants, keeping in summer jobs. Hmmm, well, looks like we need to keep up the pressure on our congresspersons.",talk.politics.misc
He's not gone yet. The position opening is down to Polie and the Sabres' GM Gerry Meehan. I think I'd like to see Meehan gone...,rec.sport.hockey
